item_code,item_name,system,trade,unit,typical_qty_notes,labor_hours_low,labor_hours_high,material_low,material_high,complexity_modifiers_notes,permit_likely,specialist_required
ROOF-001,Replace missing/damaged asphalt shingles (spot repair),Roofing,Roofing,ea,"Per shingle/tab area; often 5–30 shingles",1.0,3.0,20,150,"Steep pitch, brittle shingles, high/complex roof, matching color, multiple layers",no,no
ROOF-002,Replace roof pipe boot/flashing,Roofing,Roofing,ea,"1 per vent pipe",1.0,2.5,25,120,"Hard-to-access location, larger diameter, tile/metal roof increases labor",no,no
ROOF-003,Install/replace step flashing at sidewall,Roofing,Roofing,lf,"Often 10–30 LF at dormer/wall intersections",3.0,8.0,50,250,"Siding removal, stucco/brick interfaces, multiple stories",no,no
ROOF-004,Seal minor roof penetration (temporary),Roofing,Roofing,ea,"Small sealant patch; not a full repair",0.5,1.5,10,60,"Wet conditions, multiple penetrations, active leak diagnosis time",no,no
ROOF-005,Replace ridge cap shingles (small section),Roofing,Roofing,lf,"Common 10–40 LF localized blow-off",2.0,5.0,30,200,"High ridge height, poor access, vented ridge complexity",no,no
ROOF-006,Repair/replace valley flashing (localized),Roofing,Roofing,lf,"Often 10–25 LF",4.0,10.0,80,400,"Woven valleys, multiple layers, tile/metal, steep pitch",no,no
ROOF-007,Install cricket/saddle behind chimney,Roofing,Roofing,ea,"1 per chimney if needed",6.0,14.0,150,600,"Chimney width, masonry condition, steep pitch, reroof tie-in",yes,no
ROOF-008,Chimney counterflashing repair/replace,Roofing,Masonry/Roofing,ea,"1 chimney; includes reglet/counterflashing",4.0,10.0,100,500,"Masonry cuts, tall chimney, roof access",no,yes
ROOF-009,Replace roof vent (static/turtle),Roofing,Roofing,ea,"1–4 typical",1.0,2.5,25,150,"Cut-in on older roof, attic access constraints, high roof",no,no
ROOF-010,Attic baffle/vent chute installation,Roofing/Attic,Insulation,ea,"Per rafter bay at eaves; often 10–30",2.0,8.0,30,200,"Tight attic, low slope, existing insulation depth",no,no
EXT-001,Clean/repair gutters (re-secure sections),Exterior,Handyman/Gutters,lf,"Typical 50–200 LF",1.0,4.0,10,150,"Two-story, ladder safety, damaged fascia, heavy debris",no,no
EXT-002,Replace gutter downspout extension/add splash block,Exterior,Handyman/Gutters,ea,"1 per downspout lacking discharge control",0.5,1.5,10,60,"Underground tie-in, poor grade, multiple elbows",no,no
EXT-003,Install new gutter section (K-style aluminum),Exterior,Gutters,lf,"Per LF replaced; often 10–60 LF sections",3.0,8.0,120,600,"Two-story, fascia rot, custom colors, complex corners",no,no
EXT-004,Install new downspout (replace damaged),Exterior,Gutters,ea,"1–4 typical",1.5,3.5,30,140,"Height, strap points, pop outlets/underground drains",no,no
EXT-005,Seal exterior penetrations (hose bib, vents, siding joints),Exterior,Handyman,ea,"Per penetration; often 5–15",1.0,3.0,15,80,"Multiple materials (brick/siding), high locations, wet rot behind",no,no
EXT-006,Replace rotted fascia board (localized),Exterior,Carpentry,lf,"Often 6–20 LF",3.0,10.0,40,250,"Hidden rot, gutter removal, paint match, two-story",no,no
EXT-007,Replace rotted soffit panel (localized),Exterior,Carpentry,ea,"Per bay/panel; 1–6 typical",2.0,6.0,40,250,"Asbestos/older materials, pest nesting, height/access",no,no
EXT-008,Repair wood rot at trim (window/door casing spot),Exterior,Carpentry,ea,"Per opening/area",2.0,8.0,30,250,"Extent of rot, lead paint precautions, ladder work",no,no
EXT-009,Caulking and touch-up paint at exterior trim (minor),Exterior,Painting,ea,"Per opening or per small area",1.0,4.0,20,120,"Peeling paint, prep time, wet wood, color matching",no,no
EXT-010,Replace damaged siding (vinyl lap - small section),Exterior,Siding,ea,"Per panel/section; 1–10 panels",2.0,6.0,40,250,"Matching discontinued siding, removing J-channel, height",no,no
EXT-011,Replace damaged siding (fiber cement - small section),Exterior,Siding,ea,"Per board/area",3.0,8.0,60,350,"Dust control, paint, flashing integration, height",no,no
EXT-012,Repair brick mortar tuckpointing (small area),Exterior,Masonry,sf,"Often 5–30 SF",3.0,10.0,30,200,"Historic/soft brick, color match, scaffold needs",no,yes
EXT-013,Replace/repair exterior handrail at steps,Exterior,Carpentry,ea,"Per rail run",2.0,6.0,40,250,"Code height/spacing, anchorage into masonry, rot",no,no
EXT-014,Repair/replace exterior steps (minor carpentry),Exterior,Carpentry,ea,"Small landing/1–3 steps",4.0,12.0,80,500,"Stringer damage, footing issues, permits for major rebuild",yes,no
EXT-015,Replace exterior door sweep/weatherstripping,Exterior,Handyman,ea,"Per door",0.5,1.5,10,60,"Door sag, uneven threshold, specialty seals",no,no
WINDOW-001,Re-glaze single-pane window (spot),Windows/Doors,Glazier,ea,"Per sash/spot; older homes",2.0,5.0,20,120,"Lead paint, rotted sash, broken stops",no,yes
WINDOW-002,Replace broken window glass (double-pane IGU),Windows/Doors,Glazier,ea,"Per IGU panel",1.5,4.0,120,450,"Custom sizes, tempered glass, high elevation access",no,yes
WINDOW-003,Adjust/repair sticking window/door hardware,Windows/Doors,Handyman,ea,"Per opening",0.5,2.0,0,80,"Warped frame, settlement, parts availability",no,no
WINDOW-004,Replace window screen (custom),Windows/Doors,Handyman,ea,"Per screen",0.5,1.5,15,60,"Large screens, specialty frames, pet-resistant mesh",no,no
WINDOW-005,Replace exterior door lockset/deadbolt,Windows/Doors,Handyman,ea,"Per lock",0.5,1.5,25,150,"Re-drilling, smart lock wiring, misaligned strike plate",no,no
SITE-001,Regrade soil away from foundation (minor),Site/Drainage,Landscaping,cy,"Small corrections; often 1–5 cubic yards",4.0,16.0,50,600,"Access for wheelbarrow vs skid steer, clay soil, haul-off",no,no
SITE-002,Add/extend downspout discharge (buried solid pipe),Site/Drainage,Drainage,lf,"Often 10–50 LF per downspout",4.0,12.0,80,600,"Trenching obstacles, tie-in to daylight, pop-up emitter, roots",no,no
SITE-003,Clean/repair yard drain/catch basin,Site/Drainage,Drainage,ea,"Per basin/drain point",2.0,6.0,20,200,"Collapsed line, silted system, camera/jetting needed",no,yes
SITE-004,Install splash blocks at downspouts,Site/Drainage,Handyman,ea,"1 per downspout",0.5,1.5,10,50,"Bury/secure, poor grade, high flows",no,no
SITE-005,Repair/replace cracked driveway sections (patch),Site/Drainage,Concrete,ea,"Small patch area",3.0,10.0,50,400,"Subgrade failure, matching finish, larger pours need crew",no,yes
FOUND-001,Seal small foundation cracks (non-structural epoxy/caulk),Structure/Foundation,Foundation Repair,lf,"Per LF of crack; typically 5–30 LF",3.0,8.0,50,300,"Active water intrusion, wide cracks, finished basement access",no,yes
FOUND-002,Install/repair sump pump (replace unit),Structure/Foundation,Plumbing,ea,"1 unit",2.0,5.0,150,450,"Battery backup, discharge routing, tight pit, check valve",no,no
FOUND-003,Add sump pump battery backup,Structure/Foundation,Plumbing,ea,"1 system",2.0,4.0,200,700,"Space, discharge configuration, alarm integration",no,no
FOUND-004,Repair crawlspace vapor barrier (partial),Structure/Crawlspace,Insulation,sf,"Often 200–800 SF partial coverage",4.0,12.0,80,400,"Low clearance, standing water, debris, piers/obstacles",no,no
FOUND-005,Add crawlspace dehumidifier (standalone),Structure/Crawlspace,HVAC,ea,"1 unit",2.0,6.0,200,1200,"Drain routing, electrical receptacle, low clearance",no,no
