item_code,item_name,system,trade,unit,typical_qty_notes,labor_hours_low,labor_hours_high,material_low,material_high,complexity_modifiers_notes,permit_likely,specialist_required
ROOF-014,Install/repair kickout flashing at roof-to-wall,Roofing,Roofing,ea,"1 per roof-wall termination at eave",2.5,6.0,40,180,"Siding/stucco removal, multi-story access, water damage behind",no,no
ROOF-015,Repair/replace chimney crown (minor),Roofing,Masonry,ea,"1 chimney crown patch/rebuild",6.0,14.0,60,400,"Tall chimney, spalling brick, forming/rebar, scaffold",no,yes
ROOF-016,Install/replace chimney cap/spark arrestor,Roofing,Masonry,ea,"1 cap per flue",1.5,4.0,50,250,"Custom sizing, steep roof, multiple flues",no,yes
ROOF-017,Re-seal/replace roof flashing at dormer (localized),Roofing,Roofing,ea,"Per dormer/wall intersection",4.0,10.0,80,350,"Multiple planes, siding removal, steep pitch",no,no
ROOF-018,Repair/replace drip edge at eaves/rakes (localized),Roofing,Roofing,lf,"Often 20–80 LF affected",4.0,12.0,40,200,"Shingle lift, ice & water, high roof access",no,no
ROOF-019,Repair loose roof sheathing/nail pops (localized),Roofing,Roofing,ea,"Per area; includes shingle lift and re-fastening",3.0,8.0,20,120,"Brittle shingles, decking rot, steep pitch",no,no
ROOF-020,Replace damaged roof decking (spot),Roofing,Roofing,sf,"Small areas 10–50 SF typical",6.0,16.0,80,400,"Hidden rot, framing repair, reroof tie-in",yes,no
ROOF-021,Repair/replace roof-to-wall counterflashing at stucco,Roofing,Roofing,lf,"Often 10–30 LF",6.0,16.0,100,450,"Stucco cut/patch, waterproofing integration, multi-story",no,yes
ROOF-022,Install/repair attic ventilation (add box vents),Roofing,Roofing,ea,"Per vent; often 2–6",2.0,6.0,40,180,"Cut-in on older roof, matching shingles, attic layout",no,no
ROOF-023,Replace/repair roof turbine vent,Roofing,Roofing,ea,"1–2 typical",1.5,4.0,40,180,"Old curb condition, balancing ventilation",no,no
ROOF-024,Repair/replace roof flashing at plumbing vent (lead/collar),Roofing,Roofing,ea,"Per vent",1.5,4.0,25,150,"Tile/metal roof increases labor, brittle pipe",no,no
ROOF-025,Install/repair ice and water shield at eaves (localized),Roofing,Roofing,lf,"Often 20–60 LF at problem area",6.0,16.0,100,450,"Requires shingle removal, cold-weather work, multiple layers",no,no
ROOF-026,Repair sagging roof ridge/rafter ties (localized),Roofing/Structure,Carpentry,ea,"Per bay/area; small framing correction",8.0,24.0,80,400,"Engineering needed, finished ceilings limit access, structural load",yes,yes
ROOF-027,Seal/repair minor roof leak at flashing (diagnose + patch),Roofing,Roofing,ea,"Per leak area",2.0,6.0,20,120,"Water testing time, multiple potential sources, wet decking",no,no
EXT-021,Replace rotted exterior window sill/trim (localized),Exterior,Carpentry,ea,"Per opening",4.0,12.0,40,250,"Hidden rot, lead paint precautions, height/access",no,no
EXT-022,Repair/replace exterior vent hood (dryer/bath) termination,Exterior,HVAC/Handyman,ea,"Per termination",1.0,3.5,15,80,"High elevation, siding/stucco patching, damper fit",no,no
EXT-023,Install missing weep screed/repair stucco weep path (localized),Exterior,Stucco,lf,"Often 10–30 LF",8.0,20.0,80,350,"Moisture damage behind stucco, lath repairs, color match",no,yes
EXT-024,Replace damaged exterior hose bibb mounting block/escutcheon,Exterior,Handyman,ea,"Per penetration",0.5,2.0,10,60,"Rot behind, siding type, caulk/flash detail",no,no
EXT-025,Repair loose/bowed exterior siding (re-fastening),Exterior,Siding,ea,"Per wall section",2.0,6.0,0,60,"Wind damage, brittle vinyl, height",no,no
EXT-026,Install/repair Z-flashing above trim/ledger (localized),Exterior,Carpentry,lf,"Often 10–30 LF",4.0,12.0,30,150,"Siding removal, moisture damage behind",no,no
EXT-027,Repair/replace exterior caulk at windows/doors (full perimeter),Exterior,Handyman,ea,"Per opening",1.0,3.0,10,50,"Old caulk removal, wet substrates, ladder work",no,no
EXT-028,Replace damaged exterior light box/mounting block,Exterior,Electrician,ea,"Per location",1.5,4.0,10,60,"Rot behind, masonry mount, water intrusion",no,no
EXT-029,Repair/replace exterior brick weep holes (clear/restore),Exterior,Masonry,ea,"Per wall section",1.0,4.0,0,30,"Mortar droppings, insect screens, access",no,yes
EXT-030,Install/repair termite shield or sill plate flashing (localized),Exterior,Carpentry,lf,"Often 10–30 LF",6.0,18.0,60,250,"Sill access, existing damage, masonry ledge",no,yes
EXT-031,Replace rotted exterior stair stringer (single),Exterior,Carpentry,ea,"Per stringer",6.0,16.0,80,350,"Footing issues, code rise/run, permits if major rebuild",yes,no
EXT-032,Repair/replace porch/deck beam pocket flashing (localized),Exterior,Carpentry,ea,"Per beam end/pocket",4.0,12.0,20,120,"Hidden rot, siding/stucco removal",no,no
EXT-033,Repair exterior grading at mulch beds against siding (remove/adjust),Exterior,Landscaping,cy,"Often 0.5–3 CY",3.0,10.0,0,150,"Haul-off, plantings, access constraints",no,no
EXT-034,Replace damaged exterior vented soffit (continuous strip),Exterior,Carpentry,lf,"Often 10–40 LF",4.0,12.0,50,250,"Pest nesting, height, paint match",no,no
EXT-035,Install exterior hose bibb frost-proof insulation wrap (seasonal),Exterior,Handyman,ea,"Per hose bibb",0.2,0.6,5,25,"Add-on; not substitute for plumbing repairs",no,no
WINDOW-006,Replace failed window balance/sash spring,Windows/Doors,Handyman,ea,"Per sash",1.0,3.0,10,80,"Parts availability, older windows, tilt sash complexity",no,no
WINDOW-007,Install/replace window lock/latch,Windows/Doors,Handyman,ea,"Per window",0.3,1.5,5,40,"Obsolete hardware, drilling into vinyl/metal",no,no
WINDOW-008,Repair/replace window sill pan flashing (localized),Windows/Doors,Carpentry,ea,"Per opening",6.0,16.0,40,200,"Siding removal, water damage, interior trim repair",no,no
WINDOW-009,Replace exterior door threshold (rot/damage),Windows/Doors,Carpentry,ea,"Per door",2.5,8.0,25,150,"Door slab clearance, uneven floors, water intrusion",no,no
WINDOW-010,Install/replace door closer (exterior storm/screen),Windows/Doors,Handyman,ea,"Per door",0.5,2.0,10,50,"Wood rot at mounting points, alignment",no,no
INTERIOR-021,Replace damaged drywall (small patch w/ texture match),Interior,Drywall/Paint,sf,"Often 10–50 SF",3.0,10.0,15,120,"Multiple coats/dry time, texture match, high ceilings",no,no
INTERIOR-022,Repair plaster cracks (lath/plaster patch),Interior,Drywall/Plaster,ea,"Per area",4.0,14.0,20,150,"Historic plaster, keys failure, dust control",no,yes
INTERIOR-023,Replace damaged interior stair baluster/spindle,Interior,Carpentry,ea,"Per spindle; 1–10",1.0,3.0,5,40,"Matching profiles, stain/paint finish",no,no
INTERIOR-024,Install/replace handrail bracket/secure loose handrail,Interior,Handyman,ea,"Per bracket/section",0.5,2.0,5,35,"Missing blocking, plaster walls, anchor repairs",no,no
INTERIOR-025,Repair loose tile/grout failure at shower floor (localized),Interior,Tile,ea,"Small area/spot repair",6.0,18.0,30,250,"Waterproofing risk, matching tile, pan issues",no,yes
INTERIOR-026,Replace damaged shower door sweep/seal,Interior,Handyman,ea,"Per door",0.5,2.0,10,60,"Non-standard glass thickness, adhesive cleanup",no,no
INTERIOR-027,Replace bathroom fan duct insulation (condensation fix),Interior/HVAC,HVAC,lf,"Often 10–25 LF",2.0,6.0,20,120,"Tight attic, long run, vapor barrier repairs",no,no
INTERIOR-028,Install/repair access panel (plumbing/electrical),Interior,Carpentry,ea,"Per location",1.5,4.0,20,120,"Cutting finished surfaces, fire rating requirement",no,no
INTERIOR-029,Replace damaged subfloor (localized around toilet),Interior,Carpentry,sf,"Often 10–30 SF",8.0,20.0,80,350,"Tile removal, joist rot, plumbing reset coordination",yes,no
INTERIOR-030,Repair/replace loose stair nosing/transition strip,Interior,Flooring,ea,"Per transition",0.5,2.0,5,40,"Concrete substrate, matching profiles",no,no
ATTIC-001,Remove bath fan duct discharge into attic and vent outdoors,Attic/HVAC,HVAC,ea,"Per fan",3.0,10.0,40,200,"Roof/wall penetration, insulation disturbance, mold cleanup",no,no
ATTIC-002,Install attic catwalk/service platform (localized),Attic/Insulation,Carpentry,ea,"Per access path/area",4.0,12.0,60,250,"Truss restrictions, limited headroom, insulation compression",no,no
ATTIC-003,Remove/replace vermiculite insulation (abatement required),Attic/Insulation,Abatement,sf,"Per SF; only when confirmed hazardous",16.0,40.0,1000,6000,"Asbestos risk, containment/air monitoring, disposal",yes,yes
ATTIC-004,Repair attic access ladder (pull-down) hardware/hinges,Attic/Interior,Handyman,ea,"Per ladder",1.0,3.5,10,80,"Odd sizes, broken springs, ceiling framing",no,no
ATTIC-005,Install/repair attic gable vent screen (pest exclusion),Attic/Exterior,Handyman,ea,"Per vent",1.0,3.0,10,60,"High gables, wasp nests, fragile louvers",no,no
INSUL-007,Install insulation dam around recessed lights (as applicable),Attic/Insulation,Insulation,ea,"Per can light; often 4–12",2.0,6.0,20,120,"Non-IC rated lights require clearance, wiring issues",no,no
INSUL-008,Install/repair crawlspace pipe heat tape (as allowed),Plumbing/Insulation,Electrician/Handyman,lf,"Often 10–40 LF",2.0,6.0,20,150,"GFCI requirement, wet crawlspace, not allowed in some jurisdictions",no,yes
INSUL-009,Install/repair rim joist insulation (spray foam/batt),Attic/Insulation,Insulation,lf,"Often 20–80 LF",4.0,14.0,80,600,"Moisture issues, wiring/pipe penetrations, ignition barrier rules",no,no
INSUL-010,Replace damaged duct insulation wrap (localized),HVAC,HVAC,lf,"Often 10–40 LF",2.0,8.0,20,180,"Tight attic/crawl, moldy insulation requires remediation",no,no
SITE-010,Install/repair channel drain at driveway/garage entry,Site/Drainage,Concrete/Drainage,ea,"Per drain run (10–20 LF typical)",10.0,24.0,300,1500,"Sawcut concrete, tie-in to daylight/storm, slope constraints",yes,yes
